Label,Data,Amount
Chia Seeds,Chia Seeds,120
Granola,Granola - Happy Berries,245
Flaxseed,Flaxseed - Pesticide Free,53.9
Paratha,Paratha Puff,90
Fruit Power,Fruit Power - Masala Sugarcane,19
Green Tea,Green Tea - Tulsi Loose Leaf,225
Dhania,Dhania - Dal,98
Pudina,Pudina Chutney Masala,46.75
Mini Delight,Choco Deck - Mini Delights,160
Quinoa,Quinoa - Organic,250
Mango Chutney,Super Hot and Sweet Mango Chutney,100
Pani Puri,Pani Puri Mix Paste,48.95
French Dessert,Choco Deck - French Dessert Inspired Layered Bar,56
Foochka,Foochka,60
Sugar Free,Sugar Free Petit Beurre - The Taste of France,35
Om kalu,Organic Carom Seeds/Ajwain/Om Kalu,72
Topica,Chips - Topica,65
Masoor,Organic Dal - Masoor,96
Namkeen,Namkeen - Madras Mixture,10
Vaastu Deepa,Samrakshana Vaastu Deepa Thailam,515
Marie Light,Veda Marie Light Biscuits,30
Mango Fruit Juice,Aamras Mango Fruit Juice,243
Fenugreek,Fenugreek,28.5
spiced Tea,Spiced Tea - Blend Of 7 Refreshing Spices,150
Refined Oil,Refined Oil - Rice Bran (Natural Oryzanol & Vitamin E),183
Instant Popcorn,Instant Popcorn - Butter Delite,29.7
Dark Fantasy,Dark Fantasy - Choco Fills Biscuits - Cookies,23.76
I Love You,I Love You Fruit N Nut Chocolate,90
Idly Podi,Organic Idly Podi - Ginger,75
Cow Ghee,Organic Cow Ghee/Tuppa,280
Dates,Dates/Kharjura - Deseeded,66
Chutney,Chutney - Sweet Mango Sliced (without Garlic),90
Turmeric Poweder,Turmeric Powder/Arisina Pudi,32
Ragi,Ragi Flakes,225
Dosa Mix,Organic Dosa Mix - Jowar,80
BCAA,BCAA Energy Drink - Berry Flavour,110
Jaggery,Jaggery/Bella Powder - Pesticide Free,56
Kashmiri Meat,Ready Masala - Kashmiri Meat,19
Breakfast Mix,Breakfast Mix - Finger Millet Ragi Idli,119
Masala Upma,Masala Upma,20
Chikki,"Chikki, Peanut Bar",40
Cumin,Fields Of Gold Organic Cumin - Whole,52
